list_rank,brand_rank,brand,product_id,handle,title,product_type,category_guess,category_basis,storefront_url,image_count,image_urls,catalogue_file,catalogue_collected_at
1,1,ColourPop,7287077503058,pallet-town-shadow-palette,Pallet Town,Shadow Palette,eyeshadow_palette,eyeshadow_palette <- 'shadow palette' in product_type|title,https://colourpop.com/products/pallet-town-shadow-palette,8,https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-PalletTown-Into-with-UC.jpg?v=1713892603|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-PalletTown_2416.jpg?v=1770226322|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-PalletTown_2459.jpg?v=1770226322|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-PallettTown-PianoSwatch.jpg?v=1713892611|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-PalletTown-Full-Crush.jpg?v=1713892657|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-PalletTown-ArmSwatch-2_403b1857-7ff3-4e26-a75d-5348d726e886.jpg?v=1770226322|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-PalletTown-ArmSwatch-1_99045712-5e11-457b-aed7-a2144b27ddf5.jpg?v=1770226322|https://cdn.shopify.com/s/files/1/1338/0845/files/EyePalette-Pokemon-Half-Closed.jpg?v=1713892696,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
2,2,ColourPop,7569522557010,dinner-date-so-juicy-plumping-gloss-balm,Dinner Date,So Juicy Plumping Gloss Balm with Peptides,lip_gloss,lip_gloss <- 'plumping' in product_type|title,https://colourpop.com/products/dinner-date-so-juicy-plumping-gloss-balm,6,https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_DinnerDate_ECOM.jpg?v=1779905150|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_DinnerDate_Macro_Lip_Grid_Swatch.jpg?v=1779905150|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyPlumpingGlossBalmStick_DinnerDate_ArmSwatch.jpg?v=1779999726|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyPlumpingGlossBalmStick_DinnerDate_Swatch_ShadeName.jpg?v=1779999726|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_MadeforMe_Infographic.jpg?v=1779905113|https://cdn.shopify.com/s/files/1/1338/0845/files/SoJuicyGlossyBalmStick_DinnerDate_Swatch.jpg?v=1786239002,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
3,3,ColourPop,7494884655186,storm-cloud-cloud-whip-liquid-lipstick,Storm Cloud,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,liquid_lipstick <- 'liquid lip' in product_type|title,https://colourpop.com/products/storm-cloud-cloud-whip-liquid-lipstick,8,https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_StormCloud_ECOM_c0e5a075-135b-49af-b703-af9cf39a0a2d.jpg?v=1786233774|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_StormCloud_Model_LipMacro_eaeb8b6a-8b09-4a8f-81bd-653af5aeb954.jpg?v=1778614231|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_StormCloud_Infographic_ColourMeetsComfort.jpg?v=1778614231|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_StormCloud_Macro_Lip_ModelWears.jpg?v=1778614230|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_StormCloud_ArmSwatch.jpg?v=1778614231|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_StormCloud_Infographic.jpg?v=1778614231|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_StormCloud_FullFace_Model.jpg?v=1778614231|https://cdn.shopify.com/s/files/1/1338/0845/files/CloudWhipBlurringLiquidLipstick_StormCloud_Product_Stylized.jpg?v=1778614231,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
4,4,ColourPop,7574416097362,pink-perfection-jelly-much-eyeshadow-stick,Pink Perfection,Jelly Much Eyeshadow Stick,eyeshadow_single,eyeshadow_single <- 'eyeshadow' in product_type|title,https://colourpop.com/products/pink-perfection-jelly-much-eyeshadow-stick,8,https://cdn.shopify.com/s/files/1/1338/0845/files/JellyMuchEyeshadowStick_PinkPerfection_ECOM_e903b957-334b-4fd0-b524-a536a7d8ad7f.jpg?v=1779125862|https://cdn.shopify.com/s/files/1/1338/0845/files/JellyMuchEyeshadowStick_PinkPerfection_MacroEye_Grid_Swatch_c069ddc7-9ced-4255-b16c-41fb2cc1506a.jpg?v=1779125862|https://cdn.shopify.com/s/files/1/1338/0845/files/JellyMuchEyeshadowStick_PinkPerfection_ArmSwatch_63c4c12f-127e-47ac-ae03-2d9ba66e47be.jpg?v=1779125862|https://cdn.shopify.com/s/files/1/1338/0845/files/JellyMuchEyeshadowStick_PinkPerfection_ModelFullFace_edb19cb6-b35a-4780-a0e9-dea9eef9214c.jpg?v=1779125862|https://cdn.shopify.com/s/files/1/1338/0845/files/JellyMuchEyeshadowStick_PinkPerfection_Infographic_09b12d80-df6b-4b88-9323-81156504c6cf.jpg?v=1779125862|https://cdn.shopify.com/s/files/1/1338/0845/files/JellyMuchEyeshadowStick_PinkPerfection_ProTips_5fc86617-fa6e-426a-953c-e9aa46d2d65e.jpg?v=1779125862|https://cdn.shopify.com/s/files/1/1338/0845/files/JellyMuchEyeshadowStick_PinkPerfection_Macro_Product_Swatch_004a6e41-9e78-4d95-a361-16bbef919008.jpg?v=1779125863|https://cdn.shopify.com/s/files/1/1338/0845/files/JellyMuchEyeshadowStick_PinkPerfection_ProductStylized_790408ee-7cd2-4fb0-9613-dde5d48a5e44.jpg?v=1779125863,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
5,5,ColourPop,7494888456274,cuter-than-cupid-super-shock-blush,Cuter than Cupid,Super Shock Blush,powder_blush,powder_blush <- 'blush' in product_type|title,https://colourpop.com/products/cuter-than-cupid-super-shock-blush,6,https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_SSBlush_CuterThanCupid_ProductStylized.jpg?v=1768423713|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_Bundle_SorryNotSorry_ModelFullFace.jpg?v=1768423713|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_Bundle_SorryNotSorry_ModelFullFace_Grid.jpg?v=1768423713|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_SSBlush_CuterThanCupid_ProductStylized_Compact_6d57d6da-eb00-4ed4-b1dd-f3dbf3ef27fe.jpg?v=1768423713|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_SSBlush_NotYourBaby_Infographic.jpg?v=1768423713|https://cdn.shopify.com/s/files/1/1338/0845/files/HeartToGet_SSBlush_CuterThanCupid_ECOM.jpg?v=1768497159,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
6,6,ColourPop,7524458758226,high-demand-blush-stix,High Demand,Blush Stix,cream_blush,cream_blush <- 'blush stix' in product_type|title,https://colourpop.com/products/high-demand-blush-stix,7,https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_HighDemand_ECOM_79d18445-8b93-4e1d-bd06-c6dcafc38db4.jpg?v=1786233624|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_HighDemand_Swatch_708e262b-6fb1-4486-8191-585671a999de.jpg?v=1778556249|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_HighDemand_Macro_Face_Grid_3a88401e-d33a-4536-91e0-d5a8d4837c93.jpg?v=1778556249|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_HighDemand_Swatch_Schematic_6ef711f1-05ba-4b78-bfa9-98b195b09eeb.jpg?v=1778556249|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_HighDemand_Model_FullFace_Fair_67520ed4-c43b-485d-87ad-c3f7028d1e8c.jpg?v=1778556249|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_HighDemand_Infographic_497d7bf6-a479-4a3c-b7f1-77efd61cf601.jpg?v=1778556249|https://cdn.shopify.com/s/files/1/1338/0845/files/BlushStix_HighDemand_Product_Stylized_843d4b6e-9e30-449f-bfd7-2f8b7714c711.jpg?v=1778556249,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
7,7,ColourPop,7525266063442,soft-shell-multichrome-highlighter,Soft Shell,Mega Highlighter,highlighter,highlighter <- 'highlight' in product_type|title,https://colourpop.com/products/soft-shell-multichrome-highlighter,7,https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_SoftShell_ProductStylized.jpg?v=1774225697|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_SoftShell_Model_Cheek_Grid.jpg?v=1774225697|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_SoftShell_Swatch.jpg?v=1774225697|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_SoftShell_ModelFullFace.jpg?v=1774225697|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultiChromeHighlighters_SoftShell_ArmSwatches.jpg?v=1774225714|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_SoftShell_ProductStylized2.jpg?v=1774225714|https://cdn.shopify.com/s/files/1/1338/0845/files/LittleMermaid_MultichromeHighlighter_SoftShell_ECOM.jpg?v=1774303971,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
8,8,ColourPop,7494887342162,brunette-brow-boss-pencil,Brunette,Brow Boss Pencil,brow,brow <- 'brow' in product_type|title,https://colourpop.com/products/brunette-brow-boss-pencil,9,https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Brunette_ECOM.jpg?v=1766261992|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Macro_Eye_Grid.jpg?v=1766262267|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Model_Claims.jpg?v=1766261741|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_ArmSwatch.jpg?v=1766261741|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBoss_ContentCard_Mobile_369x562_9d5b881a-25a7-4afa-bc67-f4e81d365846.jpg?v=1770680652|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Product_Stylized.jpg?v=1770680645|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Model_Infographic.jpg?v=1770680645|https://cdn.shopify.com/s/files/1/1338/0845/files/BrowBossBrowPencil_Blonde_Infographic.jpg?v=1770680652,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
9,9,ColourPop,7556522475602,corral-beach-liquid-bronzer,Corral Beach,Liquid Bronzer,bronzer,bronzer <- 'bronzer' in product_type|title,https://colourpop.com/products/corral-beach-liquid-bronzer,9,https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_CorralBeach_ECOM.jpg?v=1786233353|https://cdn.shopify.com/s/files/1/1338/0845/files/Liquid_Bronzer_Corral_Beach_Swatch.jpg?v=1786233371|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_CorralBeach_Model_FullFace.jpg?v=1776360381|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_CorralBeach_BeforeandAfter.jpg?v=1776360381|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_CorralBeach_ArmSwatch.png?v=1776360381|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_CorralBeach_Infographic.jpg?v=1776360381|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_CorralBeach_Model_Face_Grid.jpg?v=1776360381|https://cdn.shopify.com/s/files/1/1338/0845/files/LiquidBronzer_CorralBeach_FindYourShade.jpg?v=1776360381,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
10,10,ColourPop,7569851646034,prettiest-pink-liquid-blush,Prettiest Pink,Liquid Blush,liquid_blush,liquid_blush <- 'liquid blush' in product_type|title,https://colourpop.com/products/prettiest-pink-liquid-blush,8,https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_PrettiestPink_ProductStylized.jpg?v=1776788266|https://cdn.shopify.com/s/files/1/1338/0845/files/Pink_Dreams_Liquid_Blush_Prettiest_Pink_Swatch.jpg?v=1787340893|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_PrettiestPink_Model_FullFace_Fair.jpg?v=1776788266|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_PrettiestPink_ProductStylized_Bow.jpg?v=1776788266|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_PrettiestPink_Model_FullFace_Grid.jpg?v=1776788266|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_PrettiestPink_ProductStylized_Pillow.jpg?v=1776788266|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_PrettiestPink_Model_FullFace_Deep.jpg?v=1776788266|https://cdn.shopify.com/s/files/1/1338/0845/files/PinkDreams_LiquidBlush_PrettiestPink_ECOM.jpg?v=1776788266,shopify_colourpop.json,2026-08-21T20:14:37.975476+00:00
