capture_order,priority_tier,list_rank,brand,product_id,handle,title,product_type,category_guess,unit_basis,storefront_url,storefront_sku,ocr_candidate,ocr_candidate_rule,photo_stem,capture_status,capture_date,shop,captured_by,product_name_as_printed,shade_as_printed,item_number_as_printed,barcode_digits,barcode_source,sold_with_carton,net_contents_as_printed,net_contents_location,pack_count,form_as_seen,origin_line_as_printed,photo_front,photo_net_contents,photo_barcode,photo_other,ocr_candidate_confirmed,notes
1,1,2,ColourPop,7569522557010,dinner-date-so-juicy-plumping-gloss-balm,Dinner Date,So Juicy Plumping Gloss Balm with Peptides,lip_gloss,volume,https://colourpop.com/products/dinner-date-so-juicy-plumping-gloss-balm,SoJuicyStick-DinnerDate,,,002_colourpop_dinner-date-so-juicy-plumping-gloss-balm,,,,,,,,,,,,,,,,,,,,,
2,1,3,ColourPop,7494884655186,storm-cloud-cloud-whip-liquid-lipstick,Storm Cloud,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,volume,https://colourpop.com/products/storm-cloud-cloud-whip-liquid-lipstick,CloudLiquidLipstick-StormCloud,,,003_colourpop_storm-cloud-cloud-whip-liquid-lipstick,,,,,,,,,,,,,,,,,,,,,
3,1,4,ColourPop,7574416097362,pink-perfection-jelly-much-eyeshadow-stick,Pink Perfection,Jelly Much Eyeshadow Stick,eyeshadow_single,weight,https://colourpop.com/products/pink-perfection-jelly-much-eyeshadow-stick,JellyEyeshadowStick-PinkPerfection,,,004_colourpop_pink-perfection-jelly-much-eyeshadow-stick,,,,,,,,,,,,,,,,,,,,,
4,1,5,ColourPop,7494888456274,cuter-than-cupid-super-shock-blush,Cuter than Cupid,Super Shock Blush,powder_blush,weight,https://colourpop.com/products/cuter-than-cupid-super-shock-blush,SSBlush-CuterThanCupid,SUPER SHOCK BLUSH NET WT. 7.65g (0.27oz),primary,005_colourpop_cuter-than-cupid-super-shock-blush,,,,,,,,,,,,,,,,,,,,,
5,1,8,ColourPop,7494887342162,brunette-brow-boss-pencil,Brunette,Brow Boss Pencil,brow,form_dependent,https://colourpop.com/products/brunette-brow-boss-pencil,BrowBossPencil-Brunette1,,,008_colourpop_brunette-brow-boss-pencil,,,,,,,,,,,,,,,,,,,,,
6,1,9,ColourPop,7556522475602,corral-beach-liquid-bronzer,Corral Beach,Liquid Bronzer,bronzer,weight,https://colourpop.com/products/corral-beach-liquid-bronzer,LiquidBronzer-CorralBeach,,,009_colourpop_corral-beach-liquid-bronzer,,,,,,,,,,,,,,,,,,,,,
7,1,11,ColourPop,7586234564690,clearly-cute-ph-lip-balm,Clearly Cute,pH Lip Balm,lipstick,weight,https://colourpop.com/products/clearly-cute-ph-lip-balm,PHLipBalm-ClearlyCute,,,011_colourpop_clearly-cute-ph-lip-balm,,,,,,,,,,,,,,,,,,,,,
8,1,13,ColourPop,7587815850066,keeping-it-real-lip-gloss-keychain,Keeping It Real,Lip Gloss,lip_gloss,volume,https://colourpop.com/products/keeping-it-real-lip-gloss-keychain,LipGlossKeychain-KeepingItReal,,,013_colourpop_keeping-it-real-lip-gloss-keychain,,,,,,,,,,,,,,,,,,,,,
9,1,14,ColourPop,7494878265426,skys-the-limit-cloud-whip-liquid-lipstick,Sky's the Limit,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,volume,https://colourpop.com/products/skys-the-limit-cloud-whip-liquid-lipstick,CloudLiquidLipstick-SkystheLimit,,,014_colourpop_skys-the-limit-cloud-whip-liquid-lipstick,,,,,,,,,,,,,,,,,,,,,
10,1,15,ColourPop,7575376461906,pink-icing-super-shock-shadow,Pink Icing,Super Shock Shadow,eyeshadow_single,weight,https://colourpop.com/products/pink-icing-super-shock-shadow,SSShadow-PinkIcing,,,015_colourpop_pink-icing-super-shock-shadow,,,,,,,,,,,,,,,,,,,,,
11,1,18,ColourPop,7142098311,dope-taupe-pencil,Dope Taupe Pencil,Brow Pencil,brow,form_dependent,https://colourpop.com/products/dope-taupe-pencil,BrowPencil-DopeTaupe,,,018_colourpop_dope-taupe-pencil,,,,,,,,,,,,,,,,,,,,,
12,1,19,ColourPop,7556521721938,sunset-beach-liquid-bronzer,Sunset Beach,Liquid Bronzer,bronzer,weight,https://colourpop.com/products/sunset-beach-liquid-bronzer,LiquidBronzer-SunsetBeach,,,019_colourpop_sunset-beach-liquid-bronzer,,,,,,,,,,,,,,,,,,,,,
13,1,21,ColourPop,7586234597458,pink-mood-ph-lip-balm,Pink Mood,pH Lip Balm,lipstick,weight,https://colourpop.com/products/pink-mood-ph-lip-balm,PHLipBalm-PinkMood,,,021_colourpop_pink-mood-ph-lip-balm,,,,,,,,,,,,,,,,,,,,,
14,1,23,ColourPop,7569523540050,imo-so-juicy-plumping-gloss-balm,IMO,So Juicy Plumping Gloss Balm with Peptides,lip_gloss,volume,https://colourpop.com/products/imo-so-juicy-plumping-gloss-balm,SoJuicyStick-IMO,,,023_colourpop_imo-so-juicy-plumping-gloss-balm,,,,,,,,,,,,,,,,,,,,,
15,1,24,ColourPop,7494884032594,pretty-aura-cloud-whip-liquid-lipstick,Pretty Aura,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,volume,https://colourpop.com/products/pretty-aura-cloud-whip-liquid-lipstick,CloudLiquidLipstick-PrettyAura,,,024_colourpop_pretty-aura-cloud-whip-liquid-lipstick,,,,,,,,,,,,,,,,,,,,,
16,1,25,ColourPop,7494888030290,love-at-first-swipe-shadow-stix,Love At First Swipe,Shadow Stix,eyeshadow_single,weight,https://colourpop.com/products/love-at-first-swipe-shadow-stix,Kit-LoveAtFirstSwipe,,,025_colourpop_love-at-first-swipe-shadow-stix,,,,,,,,,,,,,,,,,,,,,
17,1,28,ColourPop,7494887440466,ash-brown-brow-boss-pencil,Ash Brown,Brow Boss Pencil,brow,form_dependent,https://colourpop.com/products/ash-brown-brow-boss-pencil,BrowBossPencil-AshBrown1,,,028_colourpop_ash-brown-brow-boss-pencil,,,,,,,,,,,,,,,,,,,,,
18,1,29,ColourPop,7556523196498,sands-beach-liquid-bronzer,Sands Beach,Liquid Bronzer,bronzer,weight,https://colourpop.com/products/sands-beach-liquid-bronzer,LiquidBronzer-SandsBeach,,,029_colourpop_sands-beach-liquid-bronzer,,,,,,,,,,,,,,,,,,,,,
19,1,30,ColourPop,7576521834578,dnd-hyper-shine-glossy-lipstick,DND,Hyper Shine Glossy Lipstick,lipstick,weight,https://colourpop.com/products/dnd-hyper-shine-glossy-lipstick,HSGlossyLipstick-DND,,,030_colourpop_dnd-hyper-shine-glossy-lipstick,,,,,,,,,,,,,,,,,,,,,
20,1,32,ColourPop,7569523605586,made-for-me-so-juicy-plumping-gloss-balm,Made For Me,So Juicy Plumping Gloss Balm with Peptides,lip_gloss,volume,https://colourpop.com/products/made-for-me-so-juicy-plumping-gloss-balm,SoJuicyStick-MadeForMe,,,032_colourpop_made-for-me-so-juicy-plumping-gloss-balm,,,,,,,,,,,,,,,,,,,,,
21,1,33,ColourPop,7494883147858,so-dreamy-cloud-whip-liquid-lipstick,So Dreamy,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,volume,https://colourpop.com/products/so-dreamy-cloud-whip-liquid-lipstick,CloudLiquidLipstick-SoDreamy,,,033_colourpop_so-dreamy-cloud-whip-liquid-lipstick,,,,,,,,,,,,,,,,,,,,,
22,1,34,ColourPop,7593244262482,jolteon-shadow-stix,Jolteon,Shadow Stix,eyeshadow_single,weight,https://colourpop.com/products/jolteon-shadow-stix,ShadowStix-Jolteon,,,034_colourpop_jolteon-shadow-stix,,,,,,,,,,,,,,,,,,,,,
23,1,37,ColourPop,7141962439,black-n-brown-pencil,Black N' Brown Pencil,Brow Pencil,brow,form_dependent,https://colourpop.com/products/black-n-brown-pencil,BrowPencil-BlackNBrown,,,037_colourpop_black-n-brown-pencil,,,,,,,,,,,,,,,,,,,,,
24,1,38,ColourPop,7556523524178,surfrider-beach-liquid-bronzer,Surfrider Beach,Liquid Bronzer,bronzer,weight,https://colourpop.com/products/surfrider-beach-liquid-bronzer,LiquidBronzer-SurfriderBeach,,,038_colourpop_surfrider-beach-liquid-bronzer,,,,,,,,,,,,,,,,,,,,,
25,1,39,ColourPop,7576521179218,airport-crush-hyper-shine-glossy-lipstick,Airport Crush,Hyper Shine Glossy Lipstick,lipstick,weight,https://colourpop.com/products/airport-crush-hyper-shine-glossy-lipstick,HSGlossyLipstick-AirportCrush,,,039_colourpop_airport-crush-hyper-shine-glossy-lipstick,,,,,,,,,,,,,,,,,,,,,
26,1,41,ColourPop,7587820535890,secret-superstar-lip-gloss-keychain,Secret Superstar,Lip Gloss,lip_gloss,volume,https://colourpop.com/products/secret-superstar-lip-gloss-keychain,LipGlossKeychain-SecretSuperstar,,,041_colourpop_secret-superstar-lip-gloss-keychain,,,,,,,,,,,,,,,,,,,,,
27,1,42,ColourPop,7494879150162,cloudy-hour-cloud-whip-liquid-lipstick,Cloudy Hour,Cloud Whip Blurring Liquid Lipstick,liquid_lipstick,volume,https://colourpop.com/products/cloudy-hour-cloud-whip-liquid-lipstick,CloudLiquidLipstick-CloudyHour,,,042_colourpop_cloudy-hour-cloud-whip-liquid-lipstick,,,,,,,,,,,,,,,,,,,,,
28,1,43,ColourPop,7593244098642,flareon-shadow-stix,Flareon,Shadow Stix,eyeshadow_single,weight,https://colourpop.com/products/flareon-shadow-stix,ShadowStix-Flareon,,,043_colourpop_flareon-shadow-stix,,,,,,,,,,,,,,,,,,,,,
29,1,46,ColourPop,7494887276626,light-brown-brow-boss-pencil,Light Brown,Brow Boss Pencil,brow,form_dependent,https://colourpop.com/products/light-brown-brow-boss-pencil,BrowBossPencil-LightBrown1,,,046_colourpop_light-brown-brow-boss-pencil,,,,,,,,,,,,,,,,,,,,,
30,1,47,ColourPop,7556514086994,west-beach-liquid-bronzer,West Beach,Liquid Bronzer,bronzer,weight,https://colourpop.com/products/west-beach-liquid-bronzer,LiquidBronzer-WestBeach,,,047_colourpop_west-beach-liquid-bronzer,,,,,,,,,,,,,,,,,,,,,
31,1,48,ColourPop,7292197732434,transform-ph-lip-balm,Transform,pH Lip Balm,lipstick,weight,https://colourpop.com/products/transform-ph-lip-balm,PHLipstick-Transform,,,048_colourpop_transform-ph-lip-balm,,,,,,,,,,,,,,,,,,,,,
