brand,tier,product_id,handle,title,product_type,bucket,category_basis,q_structured,q_body_only
Anastasia Beverly Hills,high_end,10281322774819,abh-pro-subscription-fee,ABH Pro - Subscription Fee,,excluded,excluded by the set/kit/tool/non-makeup word list,False,False
Anastasia Beverly Hills,high_end,9550506688803,blushed-lip-set,Blushed Lip Set,Kits-Sets,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,9928429535523,velvet-lips-mini-lip-velvet-duo,Velvet Lips Mini Lip Velvet Duo,Kits-Sets,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,9286938001699,blush-lip-kit,Blush & Lip Kit,Kits-Sets,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,8496733618467,makeup-wipes,Makeup Wipes,Accessories,excluded,excluded by the set/kit/tool/non-makeup word list,False,False
Anastasia Beverly Hills,high_end,10141777592611,sculpted-defined-brow-trio,Sculpted & Defined Brow Trio,Kits-Sets,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,10098881495331,magic-touch-blush-trio-purple-palace,Magic Touch Blush Trio - Purple Palace,Face,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,10084110074147,kiss-theory-lip-balm,Kiss Theory Lip Balm,Lips,lipstick,lipstick <- 'lip balm' in product_type|title,False,True
Anastasia Beverly Hills,high_end,10194611470627,never-ending-summer-4-piece-set,Never Ending Summer 4-Piece Set,Kits-Sets,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,9900079055139,beachside-glow-set,Beachside Glow Set,Virtual Bundle,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,10182154420515,timeless-beauty-gift-set-new,Timeless Beauty Gift Set,Virtual Bundle,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,9949346365731,discovery-set,Discovery Set,Virtual Bundle,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,10173625729315,full-sculpted-brows-set,Full Sculpted Brows Set,Virtual Bundle,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,10173621469475,laminated-brows-set,Laminated Brows Set,Virtual Bundle,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,10173586669859,natural-feathered-brows-set,Natural Feathered Brows Set,Virtual Bundle,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,10160907190563,impeccable-foundation-face-brush,Impeccable Foundation & Face Brush,Brush,excluded,excluded by the set/kit/tool/non-makeup word list,False,False
Anastasia Beverly Hills,high_end,10084110041379,archibrow-pencil,ArchiBrow Pencil,Brow,brow,brow <- 'brow' in product_type|title,False,True
Anastasia Beverly Hills,high_end,10098881528099,pro-eyebrow-palette,Pro Eyebrow Palette,Brow,brow,brow <- 'brow' in product_type|title,False,True
Anastasia Beverly Hills,high_end,9796121592099,power-icons-anastasia-s-favorites,Power Icons: Anastasia’s Favorites,Virtual Bundle,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
Anastasia Beverly Hills,high_end,10084109975843,soft-arch-brow-kit,Soft Arch Brow Kit,Kits-Sets,excluded,excluded by the set/kit/tool/non-makeup word list,False,True
